Message,Type
"Limited time offer: Buy one, get one free! Don't miss out on this amazing deal.",promotional
"Exclusive discounts on top brands! Click here to start shopping now.",promotional
"Special sale alert! Get up to 70% off on all items. Shop now while stocks last!",promotional
"Flash sale: 30% off all items today only! Hurry before it’s too late.",promotional
"Subscribe now and get free delivery for a month on your orders!",promotional
"New arrivals are here! Shop the latest trends with 20% off.",promotional
"Don't miss out! Get your favorite gadgets at unbeatable prices.",promotional
"Weekend sale: Buy 2 and get 1 free on all electronics!",promotional
"Celebrate this season with amazing discounts on every purchase.",promotional
"Get rewarded! Shop today and earn double loyalty points.",promotional
"Click here to claim your free iPhone! Don’t miss this limited-time offer [malicious link].",malicious
"You’ve been selected for a $500 gift card! Click here to claim your reward [malicious link].",malicious
"Alert: Your account is at risk! Click here to verify your account immediately [malicious link].",malicious
"Get your free vacation now! Click the link to secure your spot [malicious link].",malicious
"Download this tool for free and speed up your PC instantly [malicious link].",malicious
"Claim your gift! Click here to unlock amazing rewards [malicious link].",malicious
"Your bank account needs verification! Update here [malicious link].",malicious
"Free membership upgrade! Click now to activate [malicious link].",malicious
"Your email storage is full. Click here to avoid service interruption [malicious link].",malicious
"Win big! Enter the contest by clicking this link [malicious link].",malicious
"Work from home and earn $5000 a month! Apply now, no experience needed.",scam
"Start your new career today! Earn up to $3000 a week online.",scam
"Make money fast with a simple data entry job! Apply today.",scam
"Get paid for surveys online. Earn money from home in your spare time.",scam
"Join now for a high-paying job opportunity! No experience necessary.",scam
"Invest $500 today and get guaranteed returns of $5000 in a week!",scam
"Congratulations! You’re pre-approved for a high-paying remote job.",scam
"Unlock financial freedom with this simple online trick.",scam
"Become a millionaire with this new investment scheme. Join now!",scam
"Your dream job is just a click away! Apply now and earn big.",scam
"Unlock your potential with Unacademy! Get 30% off on all competitive exam courses.",promotional
"Learn new skills with LinkedIn Learning. Start your free trial today!",promotional
"Advance your career with Coursera. Enroll in a top-rated course now at 40% off.",promotional
"Udemy Mega Sale! Get courses starting at just $9.99. Limited time offer.",promotional
"Skill up for free! Access exclusive resources and webinars this month.",promotional
"Prepare for your dream job! Get personalized coaching from industry experts.",promotional
"Upgrade your skills with our AI certification program. Enroll today!",promotional
"Exclusive: Earn a diploma in digital marketing in just 6 months.",promotional
"Start coding today! Get lifetime access to programming courses at 50% off.",promotional
